state_theta,state_alpha,state_theta_dot,state_alpha_dot,action_Vm,episode,iteration
-0.184829736,0.049015289,0.019952679,0.049943737,1.770580707,1,1
-0.190840101,0.043897719,-0.98135912,-0.86897451,-2.003851584,1,2
-0.19483041,0.041593483,0.339379249,0.495162584,-2.99644539,1,3
-0.178575704,0.060020077,2.25974174,2.454483629,-0.505232823,1,4
-0.147871843,0.09370047,2.659209405,2.948589636,1.594174754,1,5
-0.119828551,0.12634093,1.841902607,2.29614276,-0.498148741,1,6
-0.093768828,0.159186937,2.330886281,2.969865962,0.776554361,1,7
-0.066074118,0.19639055,2.110225812,3.001312139,-1.068231414,1,8
-0.034354749,0.240898921,2.959222818,4.124510568,-2.034805008,1,9
0.010873382,0.30264735,4.252353223,5.745731477,0.193245048,1,10
0.064379533,0.377812885,4.305530802,6.295951176,-1.213246806,1,11
0.122251721,0.463948048,4.922225863,7.47644328,1.714004273,1,12
0.179386102,0.558133032,4.23149761,7.625738567,-0.761128631,1,13
0.23366077,0.659824858,4.422338318,8.640005651,0.105202049,1,14
0.287527131,0.772756786,4.177836533,9.436798737,-1.864951311,1,15
0.340954095,0.898252857,4.328287926,10.63201547,1.276088167,1,16
0.39004358,1.035598447,3.517701048,11.3658695,-0.797182076,1,17
-0.099000625,0.011257767,0.016740976,-0.04557702,-2.655025862,2,1
-0.088378746,0.021078307,1.681614685,1.616808095,-0.03956608,2,2
-0.06703624,0.041811903,1.739084315,1.71133914,-1.559000499,2,3
-0.038912165,0.069905278,2.763842122,2.792815156,-2.403048118,2,4
0.005327219,0.115057846,4.311741396,4.439714105,1.019776224,2,5
0.056115114,0.168696991,3.830141199,4.171920176,0.650453918,2,6
0.102762982,0.221328945,3.644283157,4.272774782,0.939607198,2,7
0.146485152,0.275134234,3.362433728,4.359877362,-1.125595225,2,8
0.193636789,0.337140639,4.16502404,5.559811031,-0.67476447,2,9
0.248762308,0.412811984,4.636509895,6.548256546,-2.64491384,2,10
0.314180843,0.50551628,5.770607379,8.251945254,0.592963258,2,11
0.383972098,0.611842076,5.388230657,8.777526678,1.904992033,2,12
0.446004278,0.723226325,4.545721442,9.075581014,-0.859371387,2,13
0.502677543,0.843047866,4.490852404,10.09384012,-0.04738357,2,14
0.556245067,0.974759713,4.059120597,10.98962838,2.732157761,2,15
0.040359033,-0.029261007,-0.02628272,-0.034492004,-0.211513621,3,1
0.040509889,-0.029479559,0.050221957,-0.000750007,-0.579236732,3,2
